epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6912,0.75539,2.88073,1.06918,0.01187,0.99351,0.87406,0.70985,0.44828,3.09324,0.93954,0.00010002,0.00010002,0.00010002
2,158.983,0.63845,1.81928,1.00594,0.96283,0.16824,0.92996,0.79012,0.43935,2.68409,0.9201,0.000209559,0.000209559,0.000209559
3,236.424,0.67586,1.23581,1.06073,0.98896,0.58193,0.92109,0.779,0.53493,2.54908,0.9817,0.000311396,0.000311396,0.000311396
4,314.728,0.53241,1.06313,0.97268,0.96755,0.77441,0.92391,0.77996,0.51643,2.15376,0.98389,0.000405531,0.000405531,0.000405531
5,391.961,0.64378,1.49486,1.08011,0.92478,0.87816,0.94446,0.77943,0.67546,1.96486,1.0315,0.000491965,0.000491965,0.000491965
6,469.696,0.59072,1.14548,1.03288,0.92845,0.74026,0.90489,0.77423,0.64174,1.79044,1.10152,0.000570697,0.000570697,0.000570697
7,545.591,0.57655,1.7796,1.05165,0.58592,0.63636,0.61607,0.37471,1.07067,2.41444,1.78711,0.000641728,0.000641728,0.000641728
8,620.997,0.70083,1.07525,1.11791,0.78601,0.66234,0.76167,0.58737,0.86421,2.06152,1.32767,0.000705058,0.000705058,0.000705058
9,697.956,0.72792,1.23601,1.08356,0.81135,0.62987,0.70971,0.53031,1.02705,2.27871,1.55834,0.000760685,0.000760685,0.000760685
10,775.292,0.65237,0.96468,1.06538,0.82266,0.57235,0.7242,0.55147,1.0391,2.22367,1.51665,0.000808612,0.000808612,0.000808612
11,851.456,0.62862,0.96459,1.04385,0.91237,0.69481,0.84017,0.68212,0.9457,1.94983,1.33111,0.000848836,0.000848836,0.000848836
12,927.823,0.61462,0.88764,1.01566,0.87373,0.80882,0.88744,0.69075,1.11261,1.94774,1.61568,0.00088136,0.00088136,0.00088136
13,1005.91,0.66399,1.05316,0.99564,0.91491,0.80519,0.90014,0.73464,1.00265,1.7433,1.5038,0.000906181,0.000906181,0.000906181
14,1092.83,0.5754,0.82036,0.97826,0.90263,0.84416,0.92963,0.79641,0.77741,1.22958,1.24448,0.000923301,0.000923301,0.000923301
15,1173.95,0.56769,0.83437,1.01783,0.91691,0.93152,0.96999,0.81021,0.81996,1.2134,1.25028,0.000896846,0.000896846,0.000896846
16,1255.99,0.5949,0.77154,0.97764,0.92233,0.97403,0.98091,0.83354,0.81875,1.19218,1.22683,0.000841835,0.000841835,0.000841835
