epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.766,0.76243,1.92084,1.10043,0.92819,0.90265,0.96267,0.84936,0.46036,2.65545,0.90313,6e-05,6e-05,6e-05
2,221.859,0.64401,1.23154,1.02947,0.8616,0.9469,0.94404,0.81819,0.52419,3.33206,0.9246,0.00013538,0.00013538,0.00013538
3,303.179,0.71851,1.10706,1.13684,0.9732,0.96406,0.98799,0.88683,0.46321,2.06251,0.86641,0.00020548,0.00020548,0.00020548
4,390.851,0.59185,0.79115,0.97515,0.98871,0.9646,0.98811,0.86493,0.51165,1.30197,0.91666,0.0002703,0.0002703,0.0002703
5,472.044,0.58456,0.68189,0.93137,0.9695,0.97345,0.98246,0.86897,0.49224,1.34421,0.91052,0.00032984,0.00032984,0.00032984
6,551.096,0.60101,0.79489,1.01818,0.94702,0.94905,0.98007,0.87929,0.45435,1.14901,0.8904,0.0003841,0.0003841,0.0003841
7,630.44,0.66085,0.7556,1.01063,0.97342,0.97239,0.9893,0.86781,0.52033,0.77314,0.91296,0.00043308,0.00043308,0.00043308
8,711.191,0.57069,0.64805,0.94131,0.96546,0.9895,0.99404,0.86823,0.53428,1.31557,0.91927,0.00047678,0.00047678,0.00047678
9,796.977,0.56343,0.69132,0.97397,0.98208,0.9469,0.98985,0.85016,0.54996,1.09738,0.92982,0.0005152,0.0005152,0.0005152
10,877.561,0.60287,0.60319,0.97823,0.98126,0.92692,0.98156,0.83079,0.5358,0.87293,0.98492,0.00054834,0.00054834,0.00054834
11,958.946,0.598,0.59386,0.97903,0.71829,0.76106,0.81057,0.70559,0.52503,1.36684,0.94293,0.0005762,0.0005762,0.0005762
12,1039.08,0.55084,0.57385,0.94889,0.9127,0.88496,0.95571,0.80975,0.59581,1.02287,1.01123,0.00059878,0.00059878,0.00059878
13,1152.25,0.58883,0.62716,0.95349,0.84269,0.86726,0.93602,0.79288,0.555,1.13133,0.95012,0.00061608,0.00061608,0.00061608
14,1239.99,0.57354,0.63499,0.96909,0.94103,0.98847,0.98968,0.83873,0.54462,0.87756,0.94029,0.0006281,0.0006281,0.0006281
15,1319.35,0.63379,0.69194,1.00394,0.93096,0.95463,0.98491,0.84315,0.54682,0.9705,0.97653,0.00063484,0.00063484,0.00063484
16,1398.93,0.63123,0.61134,1.00262,0.94546,0.85841,0.94826,0.80505,0.56712,1.11891,1.0499,0.0006363,0.0006363,0.0006363
17,1477.88,0.57693,0.5674,0.98308,0.95186,0.9469,0.97918,0.80962,0.57244,1.25347,1.0311,0.00063248,0.00063248,0.00063248
18,1575.64,0.54054,0.52824,0.9318,0.92363,0.9632,0.98373,0.8036,0.596,0.91426,0.97758,0.00062338,0.00062338,0.00062338
19,1673.37,0.58259,0.54711,0.96872,0.94637,0.9823,0.99147,0.82908,0.59051,0.74428,0.96021,0.000609,0.000609,0.000609
20,1771.27,0.67253,0.58723,1.04358,0.91774,0.99115,0.98906,0.84367,0.57442,0.70323,0.96122,0.00058934,0.00058934,0.00058934
21,1871.11,0.52366,0.55718,0.92266,0.98496,0.89381,0.95275,0.78306,0.57641,1.0062,1.03086,0.0005644,0.0005644,0.0005644
22,1968.74,0.51439,0.58754,0.91565,0.97286,0.86726,0.93786,0.78075,0.61351,1.09043,1.12217,0.00053418,0.00053418,0.00053418
23,2071.15,0.49526,0.48734,0.90518,0.97043,0.89381,0.94546,0.80465,0.55646,0.8752,1.00665,0.00049868,0.00049868,0.00049868
24,2171.16,0.49216,0.48251,0.90111,0.96148,0.93805,0.975,0.8417,0.52816,0.71931,0.95687,0.0004579,0.0004579,0.0004579
25,2270.24,0.47316,0.47879,0.89252,0.97357,0.93805,0.98644,0.86315,0.52271,0.63597,0.93311,0.00041184,0.00041184,0.00041184
26,2370.06,0.50317,0.47163,0.87546,0.95626,0.96731,0.98972,0.88918,0.47226,0.56767,0.89787,0.00035,0.00035,0.00035
27,2471.82,0.47539,0.46167,0.8848,0.95754,0.99799,0.99193,0.90833,0.43263,0.50548,0.86445,0.000284,0.000284,0.000284
28,2573.36,0.49534,0.44547,0.93787,0.96379,1,0.99321,0.92847,0.40045,0.45906,0.84505,0.000218,0.000218,0.000218
29,2671.76,0.43741,0.40253,0.87846,0.98102,1,0.99447,0.93144,0.37986,0.42452,0.83413,0.000152,0.000152,0.000152
30,2772.91,0.44971,0.41465,0.86201,0.98966,1,0.995,0.93281,0.37096,0.39969,0.82918,8.6e-05,8.6e-05,8.6e-05
