epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5336,1.0159,2.62428,1.33474,0.00731,1,0.66735,0.50032,0.49662,2.72475,0.90079,2e-05,2e-05,2e-05
2,31.7342,0.81095,2.49171,1.11001,0.00731,1,0.77269,0.63534,0.44206,2.7099,0.8942,5.802e-05,5.802e-05,5.802e-05
3,46.8106,0.70093,2.29562,1.06795,0.00731,1,0.82453,0.66526,0.4875,2.69926,0.90139,9.34e-05,9.34e-05,9.34e-05
4,62.1247,0.65877,2.01929,1.00578,0.00731,1,0.85414,0.68042,0.52551,2.65181,0.92736,0.00012614,0.00012614,0.00012614
5,77.3658,0.58355,1.63773,0.96781,0.00731,1,0.85759,0.72286,0.48254,2.51942,0.90162,0.00015624,0.00015624,0.00015624
6,92.5047,0.59706,1.22995,0.99505,0.92952,0.84211,0.85314,0.72519,0.46538,2.33372,0.88702,0.0001837,0.0001837,0.0001837
7,107.475,0.49868,0.99563,0.91346,1,0.81208,0.85039,0.75239,0.4575,2.16317,0.8704,0.00020852,0.00020852,0.00020852
8,122.727,0.4776,0.85016,0.92457,1,0.74815,0.85126,0.76738,0.4369,2.17373,0.8696,0.0002307,0.0002307,0.0002307
9,138.541,0.55311,0.80449,0.91018,1,0.63037,0.86349,0.78148,0.43981,2.21388,0.86942,0.00025024,0.00025024,0.00025024
10,153.689,0.5049,0.69481,0.92988,1,0.50708,0.89232,0.79889,0.44342,2.22962,0.86179,0.00026714,0.00026714,0.00026714
11,168.723,0.55652,0.91394,0.98203,1,0.64333,0.90548,0.82828,0.4269,2.21607,0.85011,0.0002814,0.0002814,0.0002814
12,183.955,0.51204,0.92289,0.94792,1,0.78295,0.87977,0.80267,0.43578,2.14141,0.84108,0.00029302,0.00029302,0.00029302
13,199.681,0.53602,0.73451,0.90713,1,0.79942,0.86011,0.78961,0.44804,2.03157,0.84176,0.000302,0.000302,0.000302
14,214.514,0.5564,0.88373,1.0042,1,0.80611,0.8541,0.78545,0.44337,1.8855,0.84514,0.00030834,0.00030834,0.00030834
15,230.033,0.52358,0.7744,0.94144,0.99075,0.82456,0.85278,0.79045,0.42984,1.76491,0.84326,0.00031204,0.00031204,0.00031204
16,245.66,0.5022,0.73927,0.94217,1,0.83435,0.85539,0.79397,0.41804,1.70368,0.8379,0.0003131,0.0003131,0.0003131
17,260.77,0.40602,0.80009,0.94031,0.99329,0.84211,0.87068,0.81332,0.42613,1.68552,0.83295,0.00031152,0.00031152,0.00031152
18,276.103,0.47114,0.7561,0.93928,0.99811,0.84211,0.88556,0.79292,0.486,1.66529,0.8417,0.0003073,0.0003073,0.0003073
19,291.535,0.48165,0.72951,0.89382,1,0.83963,0.89835,0.79032,0.51596,1.54663,0.84172,0.00030044,0.00030044,0.00030044
20,307.485,0.52505,0.70675,0.91921,1,0.84033,0.91746,0.81827,0.491,1.40823,0.83303,0.00029094,0.00029094,0.00029094
21,322.581,0.37889,1.05619,0.90107,1,0.84117,0.94282,0.86083,0.4632,1.38127,0.82476,0.0002788,0.0002788,0.0002788
22,337.987,0.40592,1.27025,0.89108,0.99989,0.84211,0.95999,0.87051,0.43841,1.33793,0.81542,0.00026402,0.00026402,0.00026402
23,353.908,0.41597,0.9735,0.90636,0.99947,0.84211,0.96416,0.88746,0.4139,1.35823,0.80876,0.0002466,0.0002466,0.0002466
24,369.655,0.43186,1.04116,0.87691,1,0.84188,0.95732,0.8772,0.39444,1.3844,0.80712,0.00022654,0.00022654,0.00022654
25,384.967,0.40495,0.96984,0.91712,1,0.84184,0.95255,0.87738,0.41351,1.39761,0.8174,0.00020384,0.00020384,0.00020384
26,400.301,0.40425,0.84345,0.90448,0.99758,0.84211,0.94879,0.86005,0.4261,1.38642,0.8303,0.0001785,0.0001785,0.0001785
27,415.641,0.38269,0.9081,0.85772,0.99793,0.84211,0.95463,0.87878,0.40802,1.35226,0.81761,0.00015052,0.00015052,0.00015052
28,430.818,0.38108,0.90958,0.82954,0.99793,0.84211,0.95463,0.87878,0.40802,1.35226,0.81761,0.0001199,0.0001199,0.0001199
29,445.731,0.38079,0.91999,0.85086,0.99823,0.84211,0.96832,0.90212,0.38687,1.29963,0.80397,8.664e-05,8.664e-05,8.664e-05
30,460.946,0.37905,0.8153,0.84745,0.97991,0.85581,0.97643,0.9092,0.37319,1.24973,0.79493,5.074e-05,5.074e-05,5.074e-05
