epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.003,1.10039,2.67937,1.30664,0.00795,1,0.70278,0.56013,0.39829,2.6939,0.90668,4e-05,4e-05,4e-05
2,46.7812,0.75026,2.30177,1.08536,0.00795,1,0.81755,0.67726,0.43198,2.67823,0.89859,9.67e-05,9.67e-05,9.67e-05
3,69.4793,0.62178,1.92768,1.01203,0.00795,1,0.88163,0.71452,0.50424,2.59105,0.89727,0.00014944,0.00014944,0.00014944
4,92.8005,0.66628,1.31983,1.03607,1,0.48447,0.94694,0.81343,0.43019,2.32467,0.88695,0.00019822,0.00019822,0.00019822
5,115.629,0.53703,1.00296,0.95103,0.99573,0.90323,0.93957,0.83032,0.42816,1.81394,0.90537,0.00024304,0.00024304,0.00024304
6,138.784,0.53079,0.96806,0.97254,1,0.8638,0.93006,0.83301,0.43581,1.88176,0.90149,0.0002839,0.0002839,0.0002839
7,162.504,0.58855,0.80962,1.00256,1,0.8099,0.92,0.79295,0.54856,2.05932,0.98038,0.0003208,0.0003208,0.0003208
8,186.195,0.53876,0.81093,0.94988,1,0.83015,0.91278,0.78754,0.56764,2.087,0.99086,0.00035374,0.00035374,0.00035374
9,208.45,0.53739,0.74696,0.97093,0.98377,0.83871,0.90466,0.76966,0.56989,1.67597,0.99886,0.00038272,0.00038272,0.00038272
10,231.365,0.5692,0.81776,1.0216,0.96652,0.84946,0.90845,0.78525,0.55344,1.39285,0.98455,0.00040774,0.00040774,0.00040774
11,254.334,0.48386,0.72393,0.93092,1,0.90203,0.92038,0.82233,0.51536,1.29057,0.95881,0.0004288,0.0004288,0.0004288
12,277.434,0.53695,0.71833,0.91599,1,0.90184,0.92189,0.81377,0.5202,1.32344,0.95279,0.0004459,0.0004459,0.0004459
13,301.817,0.48911,0.68251,0.89925,0.99643,0.90323,0.92816,0.83224,0.50154,1.33608,0.90622,0.00045904,0.00045904,0.00045904
14,327.119,0.49895,0.71609,0.90336,0.99988,0.90323,0.9437,0.8367,0.46367,1.29097,0.88527,0.00046822,0.00046822,0.00046822
15,354.139,0.53405,0.74203,0.97026,0.99495,0.91398,0.95602,0.83786,0.4478,1.22953,0.86737,0.00047344,0.00047344,0.00047344
16,381.714,0.50965,0.82393,0.9576,0.99588,0.91398,0.95951,0.85081,0.46064,1.18175,0.86322,0.0004747,0.0004747,0.0004747
17,411.849,0.51515,0.68623,0.91939,0.97344,0.94624,0.9703,0.85633,0.52751,1.1484,0.97486,0.000472,0.000472,0.000472
18,444.176,0.50426,0.68641,0.91896,1,0.92399,0.9786,0.87653,0.48754,1.10992,0.93024,0.00046534,0.00046534,0.00046534
19,473.524,0.50827,0.67293,0.94143,1,0.93406,0.98672,0.89506,0.44304,1.09674,0.86936,0.00045472,0.00045472,0.00045472
20,502.601,0.51112,0.69235,0.9386,1,0.9413,0.98997,0.90991,0.42814,1.07498,0.85139,0.00044014,0.00044014,0.00044014
21,533.132,0.41554,0.872,0.92735,1,0.93273,0.98781,0.91791,0.41011,1.09463,0.84655,0.0004216,0.0004216,0.0004216
22,562.68,0.46107,0.83398,0.88855,0.9885,0.92433,0.98025,0.909,0.41032,1.20477,0.86184,0.0003991,0.0003991,0.0003991
23,591.591,0.44985,0.83135,0.88608,1,0.91069,0.9592,0.89179,0.40054,1.35762,0.85524,0.00037264,0.00037264,0.00037264
24,620.201,0.3954,0.84606,0.88451,0.99813,0.90323,0.94859,0.88265,0.39546,1.34518,0.83732,0.00034222,0.00034222,0.00034222
25,649.589,0.37792,0.76741,0.83891,0.9988,0.90323,0.968,0.89005,0.40615,1.1927,0.84516,0.00030784,0.00030784,0.00030784
26,678.358,0.39938,0.77396,0.86376,0.98833,0.91061,0.99216,0.91696,0.39608,1.09588,0.8366,0.0002695,0.0002695,0.0002695
27,706.821,0.42568,0.758,0.87131,0.98884,0.95276,0.99393,0.92706,0.38371,1.03799,0.83754,0.0002272,0.0002272,0.0002272
28,736.092,0.4115,0.77181,0.90885,0.99402,1,0.995,0.9359,0.37679,1.03433,0.84093,0.00018094,0.00018094,0.00018094
29,765.129,0.39276,0.77064,0.89924,0.99402,1,0.995,0.9359,0.37679,1.03433,0.84093,0.00013072,0.00013072,0.00013072
30,794.344,0.35777,0.7325,0.84115,0.99475,1,0.995,0.93402,0.36479,0.9977,0.83242,7.654e-05,7.654e-05,7.654e-05
