epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2189.57,0.95864,2.29751,1.16956,0.75978,0.72667,0.80006,0.5974,0.91636,2.19649,1.1927,0.000414663,0.000414663,0.000414663
2,4184.6,0.99657,1.52468,1.18997,0.83953,0.79318,0.87817,0.67189,0.86092,1.35668,1.12666,0.000666727,0.000666727,0.000666727
3,6096.94,0.98186,1.19059,1.1635,0.91668,0.86843,0.93619,0.73257,0.80363,1.00303,1.07864,0.00075379,0.00075379,0.00075379
4,7982.96,0.91887,0.98465,1.13884,0.92419,0.90975,0.95816,0.76407,0.75316,0.80001,1.03621,0.0005075,0.0005075,0.0005075
5,9833.72,0.85167,0.81709,1.09505,0.95397,0.92268,0.97115,0.79534,0.6865,0.63437,0.97018,0.00026,0.00026,0.00026
